Time 1-10.0.0.1-10.0.0.4 Aggregate-Flow
0.000000 2130.592000 2130.592000
3.000000 2549.557333 2549.557333
6.000000 3147.349333 3147.349333
9.000000 3050.272000 3050.272000
12.000000 2580.213333 2580.213333
15.000000 3045.162667 3045.162667
18.000000 2978.741333 2978.741333
21.000000 2508.682667 2508.682667
24.000000 3218.880000 3218.880000
27.000000 3055.381333 3055.381333
30.000000 2687.509333 2687.509333
33.000000 3167.786667 3167.786667
36.000000 2978.741333 2978.741333
39.000000 2575.104000 2575.104000
42.000000 3172.896000 3172.896000
45.000000 3009.397333 3009.397333
48.000000 2569.994667 2569.994667
51.000000 2707.946667 2707.946667
54.000000 2738.602667 2738.602667
57.000000 2830.570667 2830.570667
60.000000 3254.645333 3254.645333
63.000000 2738.602667 2738.602667
66.000000 2953.194667 2953.194667
69.000000 3065.600000 3065.600000
72.000000 2646.634667 2646.634667
75.000000 3132.021333 3132.021333
78.000000 3116.693333 3116.693333
81.000000 2529.120000 2529.120000
84.000000 3070.709333 3070.709333
87.000000 3055.381333 3055.381333
90.000000 2544.448000 2544.448000
93.000000 2656.853333 2656.853333
96.000000 2769.258667 2769.258667
99.000000 2672.181333 2672.181333
102.000000 3111.584000 3111.584000
105.000000 2932.757333 2932.757333
108.000000 2529.120000 2529.120000
111.000000 2646.634667 2646.634667
114.000000 2697.728000 2697.728000
117.000000 2886.773333 2886.773333
